Finanskontoalias,Angivelse af finanskontoalias,Type,Brugergruppe/bruger,Ændret af
0013304009,99010-022013999-91934-409-A001302--,Delt,,FujAdm07
0013304904,99010-022013999-990035-499-A001302--,Delt,,FujAdm07
0013309450,99010-022013999-990034-949-A001302--,Delt,,FujAdm07
0013614903,99010-022013999-990034-499-A001305--,Delt,,FujAdm07
0020287950,99010-022033999-990016-799TS-A005446--6062,Delt,,FujAdm07
0020327901,99010-022023999-990016-799TS-A005448--6062,Delt,,FujAdm07
0020337907,99010-022023999-990016-799TS-A005449--6062,Delt,,FujAdm07
0020372605,99010-022023999-990036-269-A002429--,Delt,,FujAdm07
0020374004,99010-022023999-990016-409-A002429--,Delt,,FujAdm07
0020374950,99010-022023999-990036-499-A002429--,Delt,,FujAdm07
0020394900,99010-022023999-990042-499-A005455--,Delt,,FujAdm07
0020397950,99010-022023999-990016-799TS-A005455--6062,Delt,,FujAdm07
0020624000,04002-022021999-040015-409--040002-6060,Delt,,FujAdm07
0020644001,04002-022021999-040015-409--040002-6060,Delt,,FujAdm07
0020757906,04002-022021999-040014-799---,Delt,,jun
0022594001,04002-022021999-040015-409--040002-6060,Delt,,FujAdm07
0022604503,04002-022021999-040005-459---,Delt,,jun
0022604902,04002-022021999-040005-499---,Delt,,jun
0022607901,04002-022021999-040005-799---,Delt,,jun
0022609408,04002-022021999-040012-949---,Delt,,jun
0022612301,04002-022021999-040011-239--040002-6060,Delt,,FujAdm07
0022614002,04002-022021999-040012-409---,Delt,,jun
0022614908,04002-022021999-040012-499---,Delt,,jun
0022627902,04002-022021999-040014-799---,Delt,,jun
0022684000,04002-022021999-040015-409--040002-6060,Delt,,FujAdm07
0022697900,04002-022021999-040014-799---,Delt,,jun
0022724002,04002-022021999-040014-409---,Delt,,jun
0022727109,04002-022021999-040014-719---,Delt,,jun
0022902903,99004-022023999-990026-299-A002223--1022,Delt,,FujAdm07
0022904000,99004-022023999-990026-409-A002223--1022,Delt,,FujAdm07
0022904507,99004-022023999-990026-459-A002223--1022,Delt,,FujAdm07
0022904906,99004-022023999-990026-499-A002223--1022,Delt,,FujAdm07
0022909207,99004-022023999-990031-929-A002223--1022,Delt,,FujAdm07
0022914006,99008-022023999-990016-409-A002227--1022,Delt,,FujAdm07
0022922904,99008-022023999-990016-299-A002227--1022,Delt,,FujAdm07
0022924508,99008-022023999-990016-459-A002227--1022,Delt,,FujAdm07
0022924907,99008-022023999-990016-499-A002227--1022,Delt,,FujAdm07
0022934503,99008-022023999-990016-459-A002227--1022,Delt,,FujAdm07
0022944509,99008-022023999-990016-459-A002227--1022,Delt,,FujAdm07
0023214008,99008-022023999-990016-409-A002235--1022,Delt,,FujAdm07
0023304503,99008-022023999-990016-459-A002235--1022,Delt,,FujAdm07
0023707950,99010-022023999-990016-799TS-A005443--6062,Delt,,FujAdm07
0023984504,99010-022023999-990042-459-A005443--,Delt,,FujAdm07
0023987201,99010-022023999-990016-729-A005443--,Delt,,FujAdm07
0023994550,99010-022023999-990042-459-A002391--,Delt,,FujAdm07
0023997908,99010-022023999-990016-799TS-A005443--6062,Delt,,FujAdm07
0024044009,99010-022023999-990016-409-A005499--6060,Delt,,FujAdm07
0024084906,99010-022023999-990016-499-A005497--,Delt,,FujAdm07
0024087905,99010-022023999-990016-799TS-A005497--6062,Delt,,FujAdm07
0024097900,99010-022023999-990016-799TS-A005496--6062,Delt,,FujAdm07
0024392902,99008-022023999-990016-299-A002435--,Delt,,FujAdm07
0024394050,99008-022023999-990016-409-A002435--1022,Delt,,FujAdm07
0024394506,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0024394905,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0024514005,99008-022023999-990016-409-A002451--1022,Delt,,FujAdm07
0024694003,99010-022023999-990042-409-A005444--,Delt,,FujAdm07
0024694550,99010-022023999-990042-459-A005444--,Delt,,FujAdm07
0024697908,99010-022023999-990042-799TS-A005444--6062,Delt,,FujAdm07
0024884503,99008-022023999-990016-459-A002451--1022,Delt,,FujAdm07
0024904008,04002-022021999-040012-409---,Delt,,jun
0025917901,99010-022023999-990016-799TS-A005459--6062,Delt,,FujAdm07
0025957903,99010-022023999-990042-799TS-A005458--6062,Delt,,FujAdm07
0026044901,99010-022023999-990031-499-A005442--,Delt,,FujAdm07
0026047900,99010-022023999-990016-799TS-A005442--6062,Delt,,FujAdm07
0026054907,99010-022023999-990031-499-A005442--,Delt,,FujAdm07
0026057906,99010-022023999-990031-799TS-A005442--6062,Delt,,FujAdm07
0026804000,04002-022021999-040005-409---,Delt,,jun
0026854903,04002-022021999-040005-499---,Delt,,jun
0027032907,99008-022023999-990016-299-A002435--1022,Delt,,FujAdm07
0027034004,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027034500,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027034950,99008-022023999-990016-499-A002435--1022,Delt,,FujAdm07
0027044506,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027054501,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027064507,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027074006,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027074901,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027082904,99008-022023999-990016-299-A002435--,Delt,,FujAdm07
0027084001,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027084508,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027084907,99008-022023999-990016-499-A002435--1022,Delt,,FujAdm07
0027094503,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027104509,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027114504,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027124003,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027124909,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027132901,99008-022023999-990016-299-A002435--,Delt,,FujAdm07
0027134009,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027134505,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027134904,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027144500,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027154506,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027164501,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027184006,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027184901,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027192904,99008-022023999-990016-299-A002435--1022,Delt,,FujAdm07
0027194001,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027194508,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027194907,99008-022023999-990016-499-A002435--1022,Delt,,FujAdm07
0027314503,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027324509,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027334504,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027344003,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027344909,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027352901,99008-022023999-990016-299-A002435--,Delt,,FujAdm07
0027354009,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027354505,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027354904,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027364500,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027384501,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027394507,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027404006,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027404901,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027442900,99008-022023999-990016-299-A002435--,Delt,,FujAdm07
0027444008,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027444504,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027444903,99008-022023999-990016-499-A002435--1022,Delt,,FujAdm07
0027454550,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027464505,99008-022023999-990016-459-A002435--1022,Delt,,FujAdm07
0027474500,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027484050,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027484905,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027492908,99008-022023999-990016-299-A002435--,Delt,,FujAdm07
0027494005,99008-022023999-990016-409-A002435--1022,Delt,,FujAdm07
0027494501,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027494900,99008-022023999-990016-499-A002435--1022,Delt,,FujAdm07
0027504507,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027514502,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027524508,99008-022023999-990016-459-A002435--,Delt,,FujAdm07
0027534007,99008-022023999-990016-409-A002435--,Delt,,FujAdm07
0027534902,99008-022023999-990016-499-A002435--,Delt,,FujAdm07
0027544002,99008-022023999-990016-409-A002435--1022,Delt,,FujAdm07
0029414904,99010-022023999-990016-499-A005473--6060,Delt,,FujAdm07
0030592301,04002-022031999-040011-239---,Delt,,jun
0030607104,04002-022031999-040014-719---,Delt,,jun
0030614550,04002-022031999-040005-459--040007-6060,Delt,,FujAdm07
0030619404,04002-022031999-040005-949---6060,Delt,,FujAdm07
0030622308,04002-022031999-040011-239---,Delt,,jun
0030624009,04002-022031999-040012-409---,Delt,,jun
0030637100,04002-022031999-040014-719--040007-6060,Delt,,FujAdm07
0031164001,04002-022031999-040011-409---,Delt,,jun
0031164508,04002-022031999-040011-459---,Delt,,jun
0031164907,04002-022031999-040011-499---,Delt,,jun
0031172306,04002-022031999-040011-239---,Delt,,jun
0031182301,04002-022031999-040011-239---,Delt,,jun
0031194903,04002-022031999-040011-499---,Delt,,jun
0031204003,04002-022031999-040011-409---,Delt,,jun
0031204909,04002-022031999-040011-499---,Delt,,jun
0031207150,04002-022031999-040011-719---,Delt,,jun
0033614950,99010-022033999-990037-459-A005461--,Delt,,FujAdm07
0033617909,99010-022033999-990016-799TS-A005461--6062,Delt,,FujAdm07
0037974900,99010-022033999-990038-499-A005462--,Delt,,FujAdm07
0037977209,99010-022033999-990016-729-A005462--6060,Delt,,FujAdm07
0037977950,99010-022033999-990016-799TS-A005462--6062,Delt,,FujAdm07
0038147900,99010-022033999-990016-799TS-A005463--6062,Delt,,FujAdm07
0041004908,04002-022041999-040005-499---,Delt,,jun
0041009403,04002-022041999-040005-949---,Delt,,jun
0041014008,04002-022041999-040008-409---,Delt,,jun
0041014903,04002-022041999-040011-499---,Delt,,jun
0041022302,04002-022041999-040011-239---,Delt,,jun
0041047100,04002-022041999-040014-719---,Delt,,jun
0041052902,04002-022041999-040012-299---,Delt,,jun
0041054905,04002-022041999-040005-499---,Delt,,jun
0041097108,04002-022041999-040014-719---,Delt,,jun
0041102306,04002-022041999-040011-239---,Delt,,jun
0041104007,04002-022041999-040005-409---,Delt,,jun
0041104503,04002-022041999-040005-459---,Delt,,jun
0041104902,04002-022041999-040005-499---,Delt,,jun
0041114002,04002-022041999-040012-409---,Delt,,jun
0041114908,04002-022041999-040012-499---,Delt,,jun
0041137150,04002-022041999-040014-719---,Delt,,jun
0041142308,04002-022041999-040011-239---,Delt,,jun
0042007900,99010-022043999-990016-799TS-A005464--6062,Delt,,FujAdm07
0043107909,99010-022043999-990016-799TS-A005475--6062,Delt,,FujAdm07
0050782301,04002-022051999-040011-239---,Delt,,jun
0050784002,04002-022051999-040008-409---,Delt,,jun
0051087909,04002-022051999-040014-799---,Delt,,jun
0051702905,04002-022051999-040005-299---,Delt,,jun
0051704908,04002-022051999-040005-499---,Delt,,jun
0051754050,04002-022051999-040012-409---,Delt,,jun
0051754905,04002-022051999-040012-499---,Delt,,jun
0051762304,04002-022051999-040011-239---,Delt,,jun
0051807901,04002-022051999-040014-799---,Delt,,jun
0053064000,04002-022051999-040012-409---,Delt,,jun
0053064906,04002-022051999-040012-499---,Delt,,jun
0053482503,99004-022053999-990030-259-A005348--,Delt,,FujAdm07
0053694004,04002-022051999-040012-409---,Delt,,jun
0053694950,04002-022051999-040012-499---,Delt,,jun
0053707904,04002-022051999-040014-799---,Delt,,jun
0053734006,04002-022051999-040014-409---,Delt,,jun
0053734901,04002-022051999-040014-499---,Delt,,jun
0053747108,04002-022051999-040014-719---,Delt,,jun
0053764002,04002-022051999-040012-409---,Delt,,jun
0053764908,04002-022051999-040012-499---,Delt,,jun
0053777104,04002-022051999-040014-719---,Delt,,jun
0053854001,04002-022051999-040008-409---,Delt,,jun
0053854907,04002-022051999-040008-499---,Delt,,jun
0053997201,99010-022053999-990039-729-A005400--,Delt,,FujAdm07
0054017901,99010-022053999-990016-799TS-A005466--6062,Delt,,FujAdm07
0054147902,99010-022023999-990016-799TS-A005494--6062,Delt,,FujAdm07
0054664907,04002-022051999-040012-499---,Delt,,jun
0055154503,04002-022051999-040005-459---,Delt,,jun
0055154902,04002-022051999-040005-499---,Delt,,jun
0055159408,04002-022051999-040005-949---,Delt,,jun
0055164002,04002-022051999-040008-409---,Delt,,jun
0055164908,04002-022051999-040012-499---,Delt,,jun
0055192308,04002-022051999-040011-239---,Delt,,jun
0055207100,04002-022051999-040012-719---,Delt,,jun
0101011003,04019-025101999-060601-109---,Delt,,jun
0101011909,04019-025101999-060601-106---,Delt,,jun
0108101008,04019-025101999-060601-109---,Delt,,jun
0108101903,04019-025101999-060601-106---,Delt,,jun
0108102950,04019-025101999-060602-299---,Delt,,jun
0108104007,04019-025101999-060602-409---,Delt,,jun
0108104902,04019-025101999-060602-499---,Delt,,jun
0108119101,04019-025101999-060601-919---,Delt,,jun
0108119705,04019-025101999-060601-979---,Delt,,jun
0108202300,04019-025101999-040005-239---,Delt,,jun
0108202904,04019-025101999-040005-299---,Delt,,jun
0108204001,04019-025101999-040005-409---,Delt,,jun
0108204508,04019-025101999-040005-459---,Delt,,jun
0108204907,04019-025101999-040005-499---,Delt,,jun
0108209402,04019-025101999-040005-949---,Delt,,jun
0108219408,04019-025101999-040005-949---,Delt,,jun
0108219750,04019-025101999-040005-979---,Delt,,jun
0108409401,04019-025101999-040005-949---,Delt,,jun
0108602902,04019-025101999-040005-299---,Delt,,jun
0108604506,04019-025101999-040005-459---,Delt,,jun
0108604905,04019-025101999-040005-499---,Delt,,jun
0111147108,07024-025111092-070064-719---,Delt,,emu
0111202907,07024-025111002-070064-299---,Delt,,emu
0111204004,07002-025111002-070003-409--070055-2002,Delt,,FujAdm07
0111204950,07024-025111002-070064-499---,Delt,,emu
0111207909,07024-025111002-070064-799---,Delt,,emu
0111209405,07002-025111002-070003-949---2002,Delt,,FujAdm07
0111242607,99002-032313999-990016-269-A011124--4035,Delt,,FujAdm07
0111304009,07024-025111002-070064-409---,Delt,,emu
0113074507,99004-025113999-990027-459-A011307--6060,Delt,,FujAdm07
0113074906,99004-025113999-990027-499-A011307--6060,Delt,,FujAdm07
0113104503,99004-025113999-990027-459-A011310--6060,Delt,,FujAdm07
0114457906,99010-022023999-990039-799-A011320--,Delt,,FujAdm07
0114464007,99010-022023999-990016-409-A011320--6060,Delt,,FujAdm07
0114477907,99010-022023999-990039-799-A011320--,Delt,,FujAdm07
0114484008,99010-022023999-990039-409-A011320--,Delt,,FujAdm07
0114514004,04002-025111999-040008-409---,Delt,,jun
0114557900,99010-022023999-990039-799-A011320--,Delt,,FujAdm07
0114577901,99010-022023999-990016-799-A011320--6060,Delt,,FujAdm07
0114584002,99010-022023999-990039-409-A011320--,Delt,,FujAdm07
0114594504,99010-022023999-990040-459-A011320--,Delt,,FujAdm07
0114914002,04002-025111999-040008-409---,Delt,,jun
0114914908,04002-025111999-040008-499---,Delt,,jun
0114947105,04002-025111999-040014-719---,Delt,,jun
0115317903,99010-025113999-990016-799-A005471--,Delt,,FujAdm07
0119018609,07002-025112003-070003-869---2002,Delt,,FujAdm07
0120127101,04002-025121999-040011-719---,Delt,,jun
0120157108,04002-025121999-040014-719---,Delt,,jun
0120707108,04002-025121999-040014-719---,Delt,,jun
0120807102,04002-025121999-040014-719---,Delt,,jun
0120809709,04002-025121999-040014-979---,Delt,,jun
0120914901,04002-025121999-040008-499---,Delt,,jun
0120922300,04002-025121999-040011-239---,Delt,,jun
0120924907,04002-025121999-040005-499---,Delt,,jun
0120929402,04002-025121999-040014-949---,Delt,,jun
0120947109,04002-025121999-040014-719---,Delt,,jun
0121002604,99010-025123999-990016-269-A012100--6060,Delt,,FujAdm07
0123102908,04002-025121999-060602-299---,Delt,,jun
0123104900,04002-025121999-060602-499---,Delt,,jun
0123119150,04002-025121999-060601-919---,Delt,,jun
0123202309,04002-025121999-040011-239---,Delt,,jun
0123202902,04002-025121999-040005-299---,Delt,,jun
0123204050,04002-025121999-040005-409---,Delt,,jun
0123204506,04002-025121999-040005-459---,Delt,,jun
0123204905,04002-025121999-040005-499---,Delt,,jun
0123209400,04002-025121999-040005-949---,Delt,,jun
0123219406,04002-025121999-040005-949---,Delt,,jun
0123402308,04002-025121999-040011-239---,Delt,,jun
0123402901,04002-025121999-040005-299---,Delt,,jun
0123404009,04002-025121999-040005-409---,Delt,,jun
0123404505,04002-025121999-040005-459---,Delt,,jun
0123404904,04002-025121999-040005-499---,Delt,,jun
0123409450,04002-025121999-040005-949---,Delt,,jun
0123764005,04002-025121999-040008-409---,Delt,,jun
0123774906,04002-025121999-040008-499---,Delt,,jun
0130457908,04002-025131999-040014-799---,Delt,,jun
0132172307,04002-025131999-040015-239---,Delt,,jun
0132174008,04002-025131999-040015-409---,Delt,,jun
0132174504,04002-025131999-040005-459---,Delt,,jun
0132174903,04002-025131999-040005-499---,Delt,,jun
0132179409,04002-025131999-040015-949---,Delt,,jun
0134604050,04002-025131999-040008-409---,Delt,,jun
0134604905,04002-025131999-040008-499---,Delt,,jun
0135454508,04002-025131999-040005-459---,Delt,,jun
0135454907,04002-025131999-040005-499---,Delt,,jun
0135502308,04002-025131999-040011-239---,Delt,,jun
0135504009,04002-025131999-040012-409---,Delt,,jun
0135504904,04002-025131999-040012-499---,Delt,,jun
0135509450,04002-025131999-040008-949---,Delt,,jun
0135512303,04002-025131999-040011-239---,Delt,,jun
0135519405,04002-025131999-040008-949---,Delt,,jun
0136504509,04002-025131999-040005-459---,Delt,,jun
0136509403,04002-025131999-040005-949---,Delt,,jun
0136554050,04002-025131999-040008-409---,Delt,,jun
0136554905,04002-025131999-040008-499---,Delt,,jun
0136607901,04002-025131999-040014-799---,Delt,,jun
0136622307,04002-025131999-040011-239---,Delt,,jun
0136624903,04002-025131999-040008-499---,Delt,,jun
0136627902,04002-025131999-040014-799---,Delt,,jun
0136634909,04002-025131999-040011-499---,Delt,,jun
0136642901,04002-025131999-040005-299---,Delt,,jun
0136644009,04002-025131999-040005-409---,Delt,,jun
0136644505,04002-025131999-040005-459---,Delt,,jun
0136644904,04002-025131999-040005-499---,Delt,,jun
0136649450,04002-025131999-040005-949---,Delt,,jun
0136652303,04002-025131999-040011-239---,Delt,,jun
0136669400,04002-025131999-040012-949---,Delt,,jun
0136724002,04002-025131999-040008-409---,Delt,,jun
0136724908,04002-025131999-040008-499---,Delt,,jun
0137004003,04002-025131999-040014-409---,Delt,,jun
0137009404,04002-025131999-040014-949---,Delt,,jun
0137014009,04002-025131999-040008-409---,Delt,,jun
0137014904,04002-025131999-040008-499---,Delt,,jun
0137877104,04002-025131999-040014-719---,Delt,,jun
0137882302,04002-025131999-040011-239---,Delt,,jun
0137894904,04002-025131999-040008-499---,Delt,,jun
0137914050,04002-025131999-040008-409---,Delt,,jun
0137914905,04002-025131999-040008-499---,Delt,,jun
0137927950,04002-025131999-040014-799---,Delt,,jun
0138012301,04002-025131999-040011-239---,Delt,,jun
0138037150,04002-025131999-040014-719---,Delt,,jun
0138039706,04002-025131999-040014-979---,Delt,,jun
0138047105,04002-025131999-040011-719---,Delt,,jun
0138062902,04002-025131999-040005-299---,Delt,,jun
0138064506,04002-025131999-040005-459---,Delt,,jun
0138069400,04002-025131999-040005-949---,Delt,,jun
0138072304,04002-025131999-040011-239---,Delt,,jun
0138074005,04002-025131999-040012-409---,Delt,,jun
0138074900,04002-025131999-040012-499---,Delt,,jun
0138082350,04002-025131999-040011-239---,Delt,,jun
0138102904,04002-025131999-040005-299---,Delt,,jun
0138104001,04002-025131999-040005-409---,Delt,,jun
0138104508,04002-025131999-040005-459---,Delt,,jun
0138104907,04002-025131999-040005-499---,Delt,,jun
0138109402,04002-025131999-040005-949---,Delt,,jun
0138112306,04002-025131999-040011-239---,Delt,,jun
0138114007,04002-025131999-040012-409---,Delt,,jun
0138114902,04002-025131999-040012-499---,Delt,,jun
0138122301,04002-025131999-040011-239---,Delt,,jun
0138124509,04002-022021999-040005-459---,Delt,,jun
0138127109,04002-022021999-040014-719--040042-6060,Delt,,FujAdm07
0138134008,04002-025131999-040014-409---,Delt,,jun
0138137104,04002-025131999-040014-719---,Delt,,jun
0138142906,04002-025131999-040012-299---,Delt,,jun
0138149404,04002-025131999-040012-949---,Delt,,jun
0138154009,04002-025131999-040005-409---,Delt,,jun
0138159450,04002-025131999-040005-949---,Delt,,jun
0138164004,04002-025131999-040008-409---,Delt,,jun
0138164950,04002-025131999-040008-499---,Delt,,jun
0138172309,04002-025131999-040011-239---,Delt,,jun
0138202305,04002-025131999-040011-239---,Delt,,jun
0138207900,04002-025131999-040011-799---,Delt,,jun
0138209407,04002-025131999-040011-949---,Delt,,jun
0138524507,04002-025131999-040014-459---,Delt,,jun
0138532305,04002-025131999-040011-239---,Delt,,jun
0138634000,04002-025131999-040012-409---,Delt,,jun
0139222601,99010-025133999-990016-269-A013922--6060,Delt,,FujAdm07
0139222903,99010-025133999-990016-299-A013922--6060,Delt,,FujAdm07
0139234901,99010-025133999-990016-499-A013922--6060,Delt,,FujAdm07
0139251008,99004-025133999-990028-109-A013005--,Delt,,shj1
0150014603,08004-025151001-080038-469---6060,Delt,,FujAdm07
0180014608,08004-025181001-080038-469---6060,Delt,,FujAdm07
0180024603,08004-025181002-080033-469---6060,Delt,,FujAdm07
0180095950,08004-025181999-080039-599-P00271--6060,Delt,,FujAdm07
0180105905,08004-025181999-080039-599-P00272--6060,Delt,,FujAdm07
0180115900,08004-025181999-080039-599-P00273--6060,Delt,,FujAdm07
0180415203,08004-025181004-080034-529---6060,Delt,,FujAdm07
0180424008,08004-025181004-080035-409---6060,Delt,,FujAdm07
0180434003,08004-025181004-080036-409---6060,Delt,,FujAdm07
0181008601,08004-025182001-080034-869---,Delt,,emu
