Finanskontoalias,Type,Angivelse af finanskontoalias,Ændret af,Brugergruppe/bruger
BOS0000001,Delt,01005-645511002-015027-529CPR---,jun,
BOS0000002,Delt,01005-528211002-015027-529CPR---,jun,
BOS0000003,Delt,01005-528221002-015025-529CPR---,jun,
BOS0000004,Delt,01005-528201003-015031-529CPR---,jun,
BOS0000005,Delt,01005-528201004-015019-529CPR---,jun,
BOS0000006,Delt,01005-528211011-015104-529CPR---,jun,
BOS0000007,Delt,01005-528221004-015015-529CPR---,jun,
BOS0000008,Delt,01005-528211005-015023-529CPR---,jun,
BOS0000009,Delt,01005-528241999-015030-529CPR---,jun,
BOS0000010,Delt,01005-528211011-015017-529CPR---,jun,
BOS0000011,Delt,01005-528211011-015032-529CPR---,jun,
BOS0000012,Delt,01005-528211011-015124-529CPR---,jun,
BOS0000013,Delt,01005-528211011-015104-529CPR---,jun,
BOS0000014,Delt,01005-528211011-015146-529CPR---,jun,
BOS0000015,Delt,01005-528211013-015037-529CPR---,jun,
BOS0000016,Delt,01005-528201005-015010-529CPR---,jun,
BOS0000017,Delt,01005-528211003-015005-529CPR---,jun,
BOS0000018,Delt,01005-528211003-015006-529CPR---,jun,
BOS0000019,Delt,01005-528211003-015012-529CPR---,jun,
BOS0000020,Delt,01005-528211004-015025-529CPR---,jun,
BOS0000021,Delt,01005-528211004-015009-529CPR---,jun,
BOS0000022,Delt,01005-528211005-015025-529CPR---,jun,
BOS0000023,Delt,01005-528211005-015023-529CPR---,jun,
BOS0000024,Delt,01005-528211005-015015-529CPR---,jun,
BOS0000025,Delt,01005-528211005-015001-529CPR---,jun,
BOS0000026,Delt,01005-528211005-015007-529CPR---,jun,
BOS0000027,Delt,01005-528211005-015008-529CPR---,jun,
BOS0000028,Delt,01005-528211006-015023-529CPR---,jun,
BOS0000029,Delt,01005-528211006-015015-529CPR---,jun,
BOS0000030,Delt,01005-528211007-015017-529CPR---,jun,
BOS0000031,Delt,01005-528211007-015018-529CPR---,jun,
BOS0000032,Delt,01005-528211007-015035-529CPR---,jun,
BOS0000033,Delt,01005-528211007-015154-529CPR---,jun,
BOS0000034,Delt,01005-528211014-015004-529CPR---,jun,
BOS0000035,Delt,01005-528211016-015029-529CPR---,jun,
BOS0000036,Delt,01005-528211017-015016-529CPR---,jun,
BOS0000037,Delt,01005-528211017-015160-529CPR---,jun,
BOS0000038,Delt,01005-528211017-015036-529CPR---,jun,
BOS0000039,Delt,01005-528211017-015000-529CPR---,jun,
BOS0000040,Delt,01005-528211019-015121-529CPR---,jun,
BOS0000041,Delt,01005-528221004-015025-529CPR---,jun,
BOS0000042,Delt,01005-528231002-015008-529CPR---,jun,
BOS0000043,Delt,01005-538421002-015020-529CPR---,jun,
BOS0000044,Delt,01005-557721009-015022-529CPR---,jun,
