Aktivitet,Aktivitetnavn,Tollerance,MaxAfvigelse,Hovedaktivitet på,Følgeudgift på ,Kle nr.,SBSYS id,Hovedaktivitet,Hovedaktivitetsnavn,Kont1,Konto2,Konto3,Kontering,PGF betegnelse,Helle,Kolonne1,Leif
015031,Soc.pæd. opholdssteder,10%,5000,SEL-52-3.7,,27.27.42,882,, ,528201003,,15031,528201003-15031,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015031,Soc.pæd. opholdssteder,10%,5000,SEL-58-jf 52-3.7,,27.24.27,1575,, ,528201003,,010038,528201003-010038,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015031,Soc.pæd. opholdssteder,10%,5000,SEL-76-3.1,,27.27.00,1581,, ,528201003,,010038,528201003-010038,SEL-76-3.1 Døgnophold 18-22 årige,,,
015031,Soc.pæd. opholdssteder,10%,5000,SEL-76-3.3,,27.27.00,1588,, ,528201003,,010038,528201003-010038,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015031,Soc.pæd. opholdssteder,10%,5000,,,, ,,,528201003,,010038,528201003-010038,#N/A,,,
015019,Kost- og efterskoler,10%,5000,SEL-52-3.7,,27.27.39,881,, ,528201004,,10039,528201004-10039,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015019,Kost- og efterskoler,10%,5000,SEL-58-jf 52-3.7,,27.24.27,1572,, ,528201004,,010039,528201004-010039,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015019,Kost- og efterskoler,10%,5000,SEL-76-3.1,,27.27.00,1600,, ,528201004,,010039,528201004-010039,SEL-76-3.1 Døgnophold 18-22 årige,,,
015019,Kost- og efterskoler,10%,5000,SEL-76-3.3,,27.27.00,1599,, ,528201004,,010039,528201004-010039,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015019,Kost- og efterskoler,10%,5000,,,, ,,,528201004,,010039,528201004-010039,#N/A,,,
015010,Eget værelse,10%,5000,SEL-76-3.1,,27.27.00,1577,, ,528201005,,010040,528201005-010040,SEL-76-3.1 Døgnophold 18-22 årige,,,
015010,Eget værelse,10%,5000,SEL-52-3.7,,27.27.45,880,,,528201005,,010040,528201005-010040,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015027,"Praktisk, pædagogisk eller anden støtte i hjemmet",10%,5000,SEL-52-3.2,,27.27.06,900,, ,528211002,,,528211002-,"SEL-52-3.2 Praktisk, pædagogisk eller anden støtte i hjemmet",,,
015011,Familiebehandling,10%,5000,SEL-52-3.3,,27.27.09,894,, ,528211003,,10043,528211003-10043,SEL-52-3.3 Familiebehandling eller lignende,,,
015005,Børnepsykologisk undersøgelse jf §50-5,,,SEL-50,,27.24.03,1561,, ,528211003,,,528211003-,SEL-50 Børnefaglig undersøgelse - frivillig eller ude samtykke,er det forskel mellem §50 og 50a og 50b?,,
015005,Børnepsykologisk undersøgelse jf §50-5,,,SEL-51,,27.24.03,1561,, ,528211003,,,528211003-,"SEL-51 Undersøgelse uden samtykke på institution, sygehus mv.",,,
015006,Dagbehandlingstilbud,10%,5000,SEL-52-3.3,,27.27.09,1296,, ,528211003,,,528211003-,SEL-52-3.3 Familiebehandling eller lignende,,,
015012,Forældrekompetenceundersøgelse,,,SEL-50,,27.24.03,1562,, ,528211003,,,528211003-,SEL-50 Børnefaglig undersøgelse - frivillig eller ude samtykke,er det forskel mellem §50 og 50a og 50b?,,
015012,Forældrekompetenceundersøgelse,,,SEL-51,,27.24.03,1562,, ,528211003,,,528211003-,"SEL-51 Undersøgelse uden samtykke på institution, sygehus mv.",,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-52-3.4,,27.27.12,1563,, ,528211004,,010085,528211004-010085,SEL-52-3.4 Døgnophold for hele familien,,,
015009,Døgnophold for familien,10%,5000,SEL-52-3.4,,27.27.12,886,, ,528211004,,,528211004-,SEL-52-3.4 Døgnophold for hele familien,,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-52-3.5,,27.27.15,1567,, ,528211005,,010085,528211005-010085,SEL-52-3.5 Aflastningsordning,,,
015023,Netværksplejefamilier,10%,5000,SEL-52-3.5,,27.27.15,1566,, ,528211005,,010086,528211005-010086,SEL-52-3.5 Aflastningsordning,,,
015015,"Kommunale plejefamilier, vederlag",10%,5000,SEL-52-3.5,,27.27.15,1565,, ,528211005,,010135,528211005-010135,SEL-52-3.5 Aflastningsordning,,,
015001,Afløsning  i hjemmet,10%,5000,SEL-44-jfr. §84,,27.06.08,912,, ,528211005,,,528211005-,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015007,Døgninstitutioner vedr. nedsat funktionsevne,10%,5000,SEL-44-jfr. §84,,27.06.08,912,, ,528211005,,,528211005-,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015007,Døgninstitutioner vedr. nedsat funktionsevne,10%,5000,SEL-52-3.5,,27.27.15,1595,, ,528211005,,,528211005-,SEL-52-3.5 Aflastningsordning,,,
015008,Døgninstitutioner vedr. sociale adfærdsproblemer,10%,5000,SEL-44-jfr. §84,,27.06.08,912,, ,528211005,,,528211005-,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015008,Døgninstitutioner vedr. sociale adfærdsproblemer,10%,5000,SEL-52-3.5,,27.27.15,1564,, ,528211005,,,528211005-,SEL-52-3.5 Aflastningsordning,,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-44-jfr. §84,,27.06.08,912,, ,528211006,,10085,528211006-10085,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015023,Netværksplejefamilier,10%,5000,SEL-44-jfr. §84,,27.06.08,912,, ,528211006,,10086,528211006-10086,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015015,"Kommunale plejefamilier, vederlag",10%,5000,SEL-44-jfr. §84,,27.06.08,912,, ,528211006,,10135,528211006-10135,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015017,Kontaktperson,10%,5000,SEL-52-3.6,,27.27.24,895,, ,528211007,,10046,528211007-10046,SEL-52-3.6 Kontaktperson til barnet/den unge/familien,,,
015017,Kontaktperson,10%,5000,SEL-76-3.2,,27.24.00,889,, ,528211007,,10046,528211007-10046,SEL-76-3.2 Fast kontaktperson 18-22 årige,,,
015017,Kontaktperson,10%,5000,SEL-76-5,,27.27.00,1589,, ,528211007,,010046,528211007-010046,SEL-76-5 Fast kontaktperson 18-22 årige for tidligere tvangsanbragte,,,
015018,Kontaktperson for hele familien,10%,5000,SEL-52-3.6,,27.27.21,893,, ,528211007,,10047,528211007-10047,SEL-52-3.6 Kontaktperson til barnet/den unge/familien,,,
015035,Tilknytning af koordinator,10%,5000,SEL-54-a,,27.24.18,1642,, ,528211007,,Koordi,528211007-Koordi,SEL-54-a Tilknytning af koordinator,,,
015154,Opretholdelse af kontaktperson ,10%,5000,SEL-76-2,,27.24.00,887,, ,528211007,,,528211007-,SEL-76-2 Efterværn / kontaktperson 18-22 årige,,,
015104,Aktiviteter,10%,5000,,,27.24.09,,, ,528211011,,,528211011-,#N/A,,,
015004,"Børnehuset, takst",10%,5000,SEL-50-b,,27.24.03,1560,, ,528211014,,,528211014-,SEL-50-b Betaling for brug af Børnehus i forbindelse med overgrebssager ,er det forskel mellem §50 og 50a og 50b?,,
015029,"Rådgivning, undersøgelse og behandling",,,SEL-11-7,,27.12.08,1556,, ,528211016,,010031,528211016-010031,"SEL-11-7 Rådgivning, undersøgelse og behandling;vedrører børn og unge",,,
015016,"Konsulentbistand efter § 11,3,1",10%,5000,SEL-11-3.1,,27.12.06,997,, ,528211017,,10051,528211017-10051,"SEL-11-3.1 Konsulentbistand, herunder familieretted",,,
015160,"Prævention, § 11,4",,,SEL-11-4.2,,27.12.06,998,, ,528211017,,10052,528211017-10052,SEL-11-4.2 Økonomisk støtte prævention,,,
015168,Støtte til fritidstilbud,10%,5000,SEL-11-6,,27.12.06,999,, ,528211017,,10053,528211017-10053,SEL-11-6 Økonomisk støtte til fritidstilbud - for,,,
015036,Økonomisk støtte til konsulentbistand,10%,5000,SEL-11-4.1,,27.12.06,997,, ,528211017,,ØkonK,528211017-ØkonK,SEL-11-4.1 Økonomisk støtte til udgifter ifm. konsu,,,
015000,"§ 11,3,2 Netværks-/samtalegruppe",10%,5000,SEL-11-3.2,,27.12.06,996,, ,528211017,,,528211017-,SEL-11-3.2 Netværks-/samtalegrupper - forebyggende,,,
015121,"Egenbetaling, beboere",10%,5000,SEL-45,,27.21.08,911,, ,528211019,,,528211019-,SEL-45 Ledsageordning 12-18 år,,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-76-3.3,,27.27.00,1587,, ,528221002,,010085,528221002-010085,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-52-3.7,,27.27.30,879,, ,528221002,,10085,528221002-10085,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-58-jf 52-3.7,,27.24.27,1574,, ,528221002,,010085,528221002-010085,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-76-3.1,,27.27.00,1580,, ,528221002,,010085,528221002-010085,SEL-76-3.1 Døgnophold 18-22 årige,,,
015025,"Plejefamilier, vederlag",10%,5000,,,, ,,,528221002,,010085,528221002-010085,#N/A,,,
015025,"Plejefamilier, vederlag",10%,5000,SEL-76-a,,27.24.00,892,, ,528221004,,010085,528221004-010085,SEL-76-a Opretholdelse af anbringelse i plejefamilie ud over det 18. år for unge,,,
015015,"Kommunale plejefamilier, vederlag",10%,5000,SEL-52-3.7,,27.27.32,877,, ,528221004,,10135,528221004-10135,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015015,"Kommunale plejefamilier, vederlag",10%,5000,SEL-58-jf 52-3.7,,27.24.27,1571,, ,528221004,,010135,528221004-010135,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015015,"Kommunale plejefamilier, vederlag",10%,5000,SEL-76-3.1,,27.27.00,1578,, ,528221004,,010135,528221004-010135,SEL-76-3.1 Døgnophold 18-22 årige,,,
015015,"Kommunale plejefamilier, vederlag",10%,5000,,,, ,,,528221004,,010135,528221004-010135,#N/A,,,
015023,Netværksplejefamilier,10%,5000,SEL-76-3.3,,27.27.00,1586,, ,528221005,,010086,528221005-010086,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015023,Netværksplejefamilier,10%,5000,SEL-52-3.7,,27.27.33,878,, ,528221005,,10086,528221005-10086,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015023,Netværksplejefamilier,10%,5000,SEL-58-jf 52-3.7,,27.24.27,1573,, ,528221005,,010086,528221005-010086,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015023,Netværksplejefamilier,10%,5000,SEL-76-3.1,,27.27.00,1579,, ,528221005,,010086,528221005-010086,SEL-76-3.1 Døgnophold 18-22 årige,,,
015023,Netværksplejefamilier,10%,5000,,,, ,,,528221005,,010086,528221005-010086,#N/A,,,
015008,Døgninstitutioner vedr. sociale adfærdsproblemer,10%,5000,SEL-58-jf 52-3.7,,27.24.27,1570,, ,528231002,,,528231002-,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015008,Døgninstitutioner vedr. sociale adfærdsproblemer,10%,5000,SEL-76-3.1,,27.27.00,1576,, ,528231002,,,528231002-,SEL-76-3.1 Døgnophold 18-22 årige,,,
015030,"Sikrede institutioner, opholdsbetaling",10%,5000,SEL-52-3.7,,27.27.27,1569,, ,528241999,,010091,528241999-010091,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015030,"Sikrede institutioner, opholdsbetaling",10%,5000,,,, ,,,528241999,,010091,528241999-010091,#N/A,,,
015020,Kvindekrisecentre,10%,5000,SEL-109,,27.57.12,922,, ,538421002,,10096,538421002-10096,"SEL-109 Botilbud, kriseramte kvinder",,,
015029,"Rådgivning, undersøgelse og behandling",10%,5000,SEL-109,,27.57.12,1552,, ,538421002,,,538421002-,"SEL-109 Botilbud, kriseramte kvinder",,,
015022,"Merudgiftsydelse, jfr. SEL § 41",10%,5000,SEL-41,,32.18.04,914,, ,557721009,,10101,557721009-10101,SEL-41 Merudgifter til børn,,,
015034,Tabt arbejdsfortjeneste,10%,5000,SEL-42,,32.18.12,916,, ,557721015,,10102,557721015-10102,SEL-42 Tabt arbejdsfortjeneste ved forsørgelse,,,
