CVR,Firma,Akiv,Type,Postnummer,Momsfaktor,Afdeling
10104181,Maglesøhus,07/16/2018,Opholdssted,4300,"95,4%",01008
10117115,Stillebækken,11/01/2010,Andet,9520,,
10174155,Støvring Omsorgshjem,06/01/2008,Egen bolig,9520,,
10197171,LØVDAL NATURCENTER,01/01/2007,Opholdssted,9500,,
10199107,Småskolen Søfolkene,10/01/2014,Kostskole,6580,,
10261899,Husene på Frydensdalsvej,06/01/2008,Andet,1809,,
10303044,Sontex A/S,,,,,
10508630,KRAGEREDEGÅRD,08/15/2008,Opholdssted,3250,,
10861284,Vædderbo,01/01/2013,Opholdssted,7900,"95,4%",01008
11106005,Fredericia Krisecenter,01/01/2007,Opholdssted med budget,7000,,
11565603,Egfond / Egholdt,,,,"95,4%",01008
11598757,Hotel Grantoften,01/01/2008,Opholdssted med budget,2750,,
11715311,Krisecentre,01/01/2012,Krisecenter,2800,,
11846459,Møllegårdens Private Botilbud,01/01/2009,Bofællesskab,4572,"95,4%",01008
11931316,Thorshøjgård,01/01/2011,Opholdssted med budget,2635,,
11986943,Esrom  Kost-og Friskole,02/01/2007,Kostskole,3230,,
12186479,Bogø Kostskole,05/01/2008,Kostskole,4793,,
12489404,Hillerød Kvindecenter,01/01/2017,Andet,3400,,
12518757,MR - Handicap og psykiatri,01/01/2012,Krisecenter,1592,,
12518765,Skolen på Kastelsvej,09/01/2009,Andet,2100,,
12572999,Stiftelsen SOLHAVEN,01/01/2007,Opholdssted,9640,,
12874502,Billehave Efterskole,,Efterskole,,,
12932502,Park Street Nordicom/Zleep Room,,,,,
13081042,Familiecentret Lille Nørremark,07/01/2009,Andet,4572,,
13182000,Oure Kosrgymnasium,01/05/2009,Efterskole,5883,,
13909644,Vejlefjord - fjordbo II,01/01/2007,Opholdssted med budget,7140,,
14221379,Ulstrup Efterskole,09/01/2008,Efterskole,4560,,
14527702,Kollegiet Axeltorv,01/01/2009,Egen bolig,3000,,
14618600,Sofie Rifbjerg Efterskole,,Efterskole,,,
14628088,Institut for Integration,,,,,
14983392,Efterskolen Flyvesandet,06/01/2013,Efterskole,5450,,
15111283,SAHVA A/S,,,,,
15307595,Den Gamle Brugs,07/08/2014,Andet,3600,,
15531584,Frydensberg Efterskole,03/01/2012,Efterskole,9550,,
15588977,LUNDEKOLLEKTIVET FOND,01/22/2009,Andet,3210,,
15658339,Den selvejende inst. Egedal,08/31/2007,Opholdssted,4534,,
15686375,OPHOLDSSTEDET 4700,09/01/2008,Andet,4700,,
15722673,Dueslaget,03/14/2013,Opholdssted,,,
15746513,Kofoeds Skole,01/01/2007,Opholdssted med budget,2300,,
15837128,Glostrup Observations-og behandlingshjem,,,,,
16057118,Efterskole Lindenborg,08/01/2012,Efterskole,4000,,
16088951,Enggårdens Hestepension,,,,,
16289404,Regnbuehuset,01/01/2009,Aktivitets- og samværstilbud,2630,,
16343943,Grennessminde,01/01/2007,Skoleophold,2630,,
17195549,Center for Autisme,01/01/2010,Eksternt program,2730,,
17383213,TØLLØSE BØRNE- & UNGDOMSPENSION,01/01/2009,Egen bolig,2400,,
17510606,Kvadderkjær,02/25/2009,Andet,7700,,
17573896,ADVOKATFIRMAET VON DER MAASE V/JENS CHR. VON DER MAASE,,Advokat,,,
17743171,SKOVBOGAARD,01/01/2007,Opholdssted,4733,,
18391007,Hårslev Efterskole,05/01/2011,Efterskole,4262,,
18451778,Solvang,01/01/2009,Bofællesskab,4944,,
18461501,HØJDERYGGENS PSYKOLOGKONTOR V/OLE STJERNHOLM,,Psykolog,,,
18643294,Teaterbygningen Fanefjord,01/01/2007,Opholdssted med budget,4792,,
18675439,Butterfly,04/01/2009,Opholdssted,4735,,
18675447,SIVKÆR,05/21/2007,Opholdssted,4672,,
18706571,Psykolog Susanne Kofoed,,Psykolog,,,
19049574,Skovbo Efterskole,03/01/2010,Efterskole,4100,,
19178749,Drosthuset Glostrup,01/01/2009,Bofællesskab,2600,,
19186407,Tværs ApS,01/01/2007,Andet,9640,,
19210170,Frøslevlejrens Efterskole,06/08/2011,Efterskole,6330,,
19275086,Opholdsstedet Clemens Gaarden,12/15/2008,Andet,4750,,
19369609,Overførstergården,09/01/2008,Opholdssted med budget,2820,,
19406679,Krumsø Fri- og Kostskole,01/01/2011,Andet,4920,,
19700046,Søegaard,08/11/2014,Andet,4534,,
19700046,Opholdsstedet Søegaard,,,,,
19796787,TEGLGÅRDSLUND UNGDOMSBOLIGER,01/01/2007,Opholdssted,3400,,
19819493,Krummebækgaard,08/01/2009,Opholdssted,4792,,
20030380,Tagkærgård,11/21/2006,Socialpædagogisk opholdssted,6070,,
20129638,Tølløse slot efterskole,03/10/2014,Efterskole,,,
20240636,Lavuks Aftentilbud,01/01/2009,Aktivitets- og samværstilbud,2400,,
20243872,Skolen ved Sorte hest,,,,"95,4%",01008
20377003,RYTTERGÅRDEN,01/01/2007,Opholdssted,9330,,
20415290,Psykologerne i Allerød/Ruben Elgaard,,Psykolog,,,
20462183,LINDERSVOLD,01/01/2007,Opholdssted,4640,,
20638230,Skårup Efterskole,01/01/2012,Efterskole,5881,,
20770279,Opholdsstedet Unika,01/10/2014,Opholdssted,4760,,
20803746,Projektskolen Grennessminde,01/01/2011,Erhvervsrettet uddannelse,2630,,
20867043,DEN PSYKOLOGISKE RÅDGIVNING V/ BENTE FRIIS HOLM,,Psykolog,,,
20868074,Lindhøjgård,01/01/2012,Andet,3540,,
20894938,SAKSO,05/01/2014,Opholdssted,1620,,
20956372,Børnehuset Siv,05/01/2009,Andet,3520,,
20991275,Isterød Efter- og Højskole,08/01/2008,Efterskole,2970,,
21002542,Opholdsstedet TINGGAARDEN,01/01/2007,Opholdssted,3230,,
21102792,DET SOCIALPÆDAGOGISKE OPHOLDSSTED KERNEHUSET ApS,01/01/2015,Andet,4990,,
21157104,Den selvejende inst. Grønsund,10/15/2009,Andet,4850,,
21169900,Gedebjerg,,,,,
21416428,VBT,,,,,
